date,isin,issue date,maturity date,coupon,historical close price,,,
2021-01-22,CA135087F254,2015-10-19,2021-03-01,0.750%,100.07,,,
2021-01-25,CA135087F254,2015-10-19,2021-03-01,0.750%,100.06,,,
2021-01-26,CA135087F254,2015-10-19,2021-03-01,0.750%,100.06,,,
2021-01-27,CA135087F254,2015-10-19,2021-03-01,0.750%,100.06,,,
2021-01-28,CA135087F254,2015-10-19,2021-03-01,0.750%,100.06,,,
2021-01-29,CA135087F254,2015-10-19,2021-03-01,0.750%,100.06,,,
2021-01-18,CA135087F585,2016-04-11,2021-09-01,0.750%,100.4,,,
2021-01-19,CA135087F585,2016-04-11,2021-09-01,0.750%,100.4,,,
2021-01-20,CA135087F585,2016-04-11,2021-09-01,0.750%,100.39,,,
2021-01-21,CA135087F585,2016-04-11,2021-09-01,0.750%,100.38,,,
2021-01-22,CA135087F585,2016-04-11,2021-09-01,0.750%,100.38,,,
2021-01-25,CA135087F585,2016-04-11,2021-09-01,0.750%,100.37,,,
2021-01-26,CA135087F585,2016-04-11,2021-09-01,0.750%,100.37,,,
2021-01-27,CA135087F585,2016-04-11,2021-09-01,0.750%,100.38,,,
2021-01-28,CA135087F585,2016-04-11,2021-09-01,0.750%,100.37,,,
2021-01-29,CA135087F585,2016-04-11,2021-09-01,0.750%,100.37,,,
2021-01-18,CA135087G328,2016-10-11,2022-03-01,0.500%,100.44,,,
2021-01-19,CA135087G328,2016-10-11,2022-03-01,0.500%,100.43,,,
2021-01-20,CA135087G328,2016-10-11,2022-03-01,0.500%,100.41,,,
2021-01-21,CA135087G328,2016-10-11,2022-03-01,0.500%,100.4,,,
2021-01-22,CA135087G328,2016-10-11,2022-03-01,0.500%,100.41,,,
2021-01-25,CA135087G328,2016-10-11,2022-03-01,0.500%,100.39,,,
2021-01-26,CA135087G328,2016-10-11,2022-03-01,0.500%,100.39,,,
2021-01-27,CA135087G328,2016-10-11,2022-03-01,0.500%,100.41,,,
2021-01-28,CA135087G328,2016-10-11,2022-03-01,0.500%,100.41,,,
2021-01-29,CA135087G328,2016-10-11,2022-03-01,0.500%,100.41,,,
2021-01-18,CA135087J629,2018-11-09,2021-02-01,2.250%,100.06,,,
2021-01-19,CA135087J629,2018-11-09,2021-02-01,2.250%,100.06,,,
2021-01-20,CA135087J629,2018-11-09,2021-02-01,2.250%,100.05,,,
2021-01-21,CA135087J629,2018-11-09,2021-02-01,2.250%,100.03,,,
2021-01-22,CA135087J629,2018-11-09,2021-02-01,2.250%,100.03,,,
2021-01-25,CA135087J629,2018-11-09,2021-02-01,2.250%,100.02,,,
2021-01-26,CA135087J629,2018-11-09,2021-02-01,2.250%,100.02,,,
2021-01-27,CA135087J629,2018-11-09,2021-02-01,2.250%,100.01,,,
2021-01-18,CA135087L286,2020-05-04,2022-08-01,0.250%,100.20,,,
2021-01-19,CA135087L286,2020-05-04,2022-08-01,0.250%,100.19,,,
2021-01-20,CA135087L286,2020-05-04,2022-08-01,0.250%,100.16,,,
2021-01-21,CA135087L286,2020-05-04,2022-08-01,0.250%,100.16,,,
2021-01-22,CA135087L286,2020-05-04,2022-08-01,0.250%,100.16,,,
2021-01-25,CA135087L286,2020-05-04,2022-08-01,0.250%,100.14,,,
2021-01-26,CA135087L286,2020-05-04,2022-08-01,0.250%,100.15,,,
2021-01-27,CA135087L286,2020-05-04,2022-08-01,0.250%,100.17,,,
2021-01-28,CA135087L286,2020-05-04,2022-08-01,0.250%,100.18,,,
2021-01-29,CA135087L286,2020-05-04,2022-08-01,0.250%,100.18,,,
2021-01-18,CA135087L773,2020-10-26,2023-02-01,0.250%,100.13,,,
2021-01-19,CA135087L773,2020-10-26,2023-02-01,0.250%,100.12,,,
2021-01-20,CA135087L773,2020-10-26,2023-02-01,0.250%,100.1,,,
2021-01-21,CA135087L773,2020-10-26,2023-02-01,0.250%,100.1,,,
2021-01-22,CA135087L773,2020-10-26,2023-02-01,0.250%,100.1,,,
2021-01-25,CA135087L773,2020-10-26,2023-02-01,0.250%,100.08,,,
2021-01-26,CA135087L773,2020-10-26,2023-02-01,0.250%,100.09,,,
2021-01-27,CA135087L773,2020-10-26,2023-02-01,0.250%,100.12,,,
2021-01-28,CA135087L773,2020-10-26,2023-02-01,0.250%,100.12,,,
2021-01-29,CA135087L773,2020-10-26,2023-02-01,0.250%,100.13,,,
2021-01-18,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.58,,,
2021-01-19,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.55,,,
2021-01-20,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.52,,,
2021-01-21,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.44,,,
2021-01-22,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.41,,,
2021-01-25,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.38,,,
2021-01-26,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.35,,,
2021-01-27,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.32,,,
2021-01-28,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.24,,,
2021-01-29,CA135087TZ75,1990-12-15,2021-03-15,10.500%,101.21,,,
2021-01-18,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.5,,,
2021-01-19,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.48,,,
2021-01-20,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.44,,,
2021-01-21,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.36,,,
2021-01-22,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.34,,,
2021-01-25,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.31,,,
2021-01-26,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.28,,,
2021-01-27,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.26,,,
2021-01-28,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.18,,,
2021-01-29,CA135087UE28,1991-05-09,2021-06-01,9.750%,103.15,,,
2021-01-18,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.42,,,
2021-01-19,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.4,,,
2021-01-20,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.35,,,
2021-01-21,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.27,,,
2021-01-22,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.24,,,
2021-01-25,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.2,,,
2021-01-26,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.19,,,
2021-01-27,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.18,,,
2021-01-28,CA135087UM44,1991-12-15,2022-06-01,9.250%,112.1,,,
